name,price,quality,category
Game76,33384,9,Puzzle
Game77,9595,5,Acción
Game78,26207,50,Acción
Game79,33584,19,Puzzle
Game80,25468,55,Aventura
Game81,25409,93,Acción
Game82,39297,94,Estrategia
Game83,49496,74,Aventura
Game84,26355,9,Aventura
Game85,23487,22,Deportes
Game86,39772,54,RPG
Game87,3703,80,Deportes
Game88,49779,63,Deportes
Game89,23289,8,Aventura
Game90,45797,23,Estrategia
Game91,42523,29,RPG
Game92,32912,73,Deportes
Game93,5168,99,Deportes
Game94,12725,73,Acción
Game95,30639,83,Acción
Game96,959,100,Acción
Game97,12248,82,Deportes
Game98,14036,89,Puzzle
Game99,32433,8,Acción
Game100,26174,49,Deportes
Game101,5386,90,RPG
Game102,28140,77,Estrategia
Game103,41811,64,Estrategia
Game104,12037,38,Estrategia
Game105,33328,28,Puzzle
Game106,18033,61,Deportes
Game107,48757,23,Aventura
Game108,42278,68,Estrategia
Game109,34840,18,Estrategia
Game110,27025,98,Estrategia
Game111,22491,15,Aventura
Game112,20484,84,RPG
Game113,19768,47,Puzzle
Game114,4485,89,Puzzle
Game115,12370,85,Deportes
Game116,40091,14,Aventura
Game117,19609,22,Puzzle
Game118,19867,41,Puzzle
Game119,38246,24,Deportes
Game120,6069,52,Puzzle
Game121,4663,52,Estrategia
Game122,38966,57,Estrategia
Game123,43559,10,Puzzle
Game124,15947,77,Estrategia
Game125,31628,88,Puzzle
Game126,316,93,Acción
Game127,43073,71,Acción
Game128,14504,71,Acción
Game129,13893,57,Estrategia
Game130,27874,97,Aventura
Game131,7074,87,RPG
Game132,41454,37,Acción
Game133,9860,49,Puzzle
Game134,45359,6,Puzzle
Game135,47021,76,RPG
Game136,15356,76,RPG
Game137,6781,33,Puzzle
Game138,48931,52,Aventura
Game139,30709,8,Acción
Game140,47109,26,Deportes
Game141,28310,50,Acción
Game142,14907,81,RPG
Game143,16750,77,Estrategia
Game144,69,56,RPG
Game145,37518,60,Acción
Game146,23068,33,Puzzle
Game147,23413,71,Aventura
Game148,47003,3,Aventura
Game149,49399,79,RPG
Game150,7441,43,Deportes
Game151,25767,78,RPG
Game152,13222,80,Acción
Game153,6838,70,Puzzle
Game154,37433,90,Acción
Game155,48870,28,RPG
Game156,16726,16,Aventura
Game157,35807,30,Deportes
Game158,24408,88,Aventura
Game159,37503,90,Acción
Game160,33400,78,Puzzle
Game161,34054,25,Estrategia
Game162,18818,31,Aventura
Game163,15441,88,RPG
Game164,6805,95,Estrategia
Game165,10553,98,Aventura
Game166,3223,35,Acción
Game167,32272,17,Acción
Game168,22319,51,Aventura
Game169,47730,18,Acción
Game170,32614,21,Deportes
Game171,19823,59,Deportes
Game172,6769,70,Estrategia
Game173,42545,95,Estrategia
Game174,698,11,Deportes
Game175,22595,45,RPG
Game176,12619,59,Aventura
Game177,24991,72,Puzzle
Game178,49235,0,Aventura
Game179,37116,68,Acción
Game180,26479,14,Estrategia
Game181,24197,52,Deportes
Game182,44121,97,Deportes
Game183,15814,67,RPG
Game184,11235,2,Aventura
Game185,23619,98,Acción
Game186,29259,11,Puzzle
Game187,17061,95,Puzzle
Game188,16635,82,RPG
Game189,8709,18,Aventura
Game190,44711,27,Acción
Game191,25463,93,Puzzle
Game192,11130,49,RPG
Game193,31577,78,Acción
Game194,18558,65,Puzzle
Game195,25787,4,RPG
Game196,23838,2,RPG
Game197,7732,43,Acción
Game198,37375,40,Acción
Game199,37943,7,Aventura
Game200,6413,86,Estrategia
Game201,11131,69,Acción
Game202,8886,10,Aventura
Game203,47694,54,Aventura
Game204,35111,74,Puzzle
Game205,18469,63,Estrategia
Game206,8584,9,Deportes
Game207,23256,71,Estrategia
Game208,45217,91,Acción
Game209,12294,93,Puzzle
Game210,29716,48,Aventura
Game211,19715,78,Aventura
Game212,43619,23,Acción
Game213,44704,76,Aventura
Game214,7681,51,Estrategia
Game215,11007,14,Acción
Game216,26984,4,Estrategia
Game217,26890,22,Estrategia
Game218,18567,80,Estrategia
Game219,48656,45,Deportes
Game220,15080,18,RPG
Game221,46171,9,Acción
Game222,39764,45,Aventura
Game223,44900,83,Aventura
Game224,33707,62,Deportes
Game225,41416,27,Aventura
Game226,12084,30,Acción
Game227,19339,18,RPG
Game228,35604,97,Deportes
Game229,34545,78,RPG
Game230,41157,24,Puzzle
Game231,17405,91,Puzzle
Game232,37376,8,Acción
Game233,12403,6,Deportes
Game234,15486,6,Acción
Game235,1183,36,RPG
Game236,17170,18,Aventura
Game237,18431,69,Acción
Game238,23890,35,Acción
Game239,41255,4,RPG
Game240,47940,34,Deportes
Game241,47824,88,Acción
Game242,44078,73,RPG
Game243,5607,97,RPG
Game244,32980,96,Estrategia
Game245,40226,81,Deportes
Game246,26803,41,Deportes
Game247,37775,56,Acción
Game248,31584,49,Aventura
Game249,7815,27,Aventura
Game250,34745,100,RPG
Game251,47890,72,Aventura
Game252,36504,74,Puzzle
Game253,4556,26,Deportes
Game254,9690,31,Puzzle
Game255,8865,59,RPG
Game256,26855,26,RPG
Game257,10128,63,Aventura
Game258,46864,43,Deportes
Game259,32334,58,Estrategia
Game260,13605,62,Aventura
Game261,38461,44,RPG
Game262,35843,76,RPG
Game263,40096,87,Puzzle
Game264,46485,70,Puzzle
Game265,41031,66,Estrategia
Game266,16698,10,Puzzle
Game267,365,87,Puzzle
Game268,8014,40,Estrategia
Game269,44570,9,Acción
Game270,18164,78,Puzzle
Game271,27022,54,Puzzle
Game272,23056,96,Acción
Game273,6505,84,Acción
Game274,31930,14,Puzzle
Game275,32308,69,Aventura
Game276,47724,23,Deportes
Game277,47738,60,Estrategia
Game278,36749,3,Deportes
Game279,3536,86,RPG
Game280,31912,47,Deportes
Game281,19206,6,Puzzle
Game282,23934,73,Acción
Game283,23191,22,Aventura
Game284,49127,96,Deportes
Game285,1684,69,Acción
Game286,24647,31,Deportes
Game287,41356,96,Deportes
Game288,22585,34,Puzzle
Game289,19709,28,Acción
Game290,9933,78,Estrategia
Game291,9455,78,Puzzle
Game292,30797,72,RPG
Game293,12419,21,Puzzle
Game294,46407,66,Puzzle
Game295,38107,2,Estrategia
Game296,1303,47,Estrategia
Game297,20771,0,RPG
Game298,8743,18,Aventura
Game299,9669,27,Puzzle
Game300,19559,72,RPG
Game301,45026,15,RPG
Game302,13514,15,RPG
Game303,33864,81,RPG
Game304,816,6,Puzzle
Game305,3837,45,RPG
Game306,14311,1,Aventura
Game307,34149,40,Acción
Game308,46825,44,Deportes
Game309,37969,24,Aventura
Game310,6105,74,RPG
Game311,10143,40,Acción
Game312,43132,85,Aventura
Game313,7106,66,Puzzle
Game314,35698,86,Acción
Game315,14397,35,Aventura
Game316,20865,50,Puzzle
Game317,36575,59,Puzzle
Game318,405,18,Deportes
Game319,13200,46,Deportes
Game320,45230,62,Puzzle
Game321,43499,48,Acción
Game322,24455,66,Aventura
Game323,23083,63,Aventura
Game324,8342,31,Aventura
Game325,37647,79,Aventura
Game326,8267,60,RPG
Game327,12026,73,RPG
Game328,29843,12,Estrategia
Game329,3571,45,Puzzle
Game330,15792,35,RPG
Game331,39427,36,Puzzle
Game332,23657,20,Estrategia
Game333,20884,32,Deportes
Game334,7888,54,Acción
Game335,18305,87,Puzzle
Game336,32033,18,Estrategia
Game337,15432,96,Acción
Game338,33742,39,Estrategia
Game339,44391,68,Acción
Game340,8358,36,RPG
Game341,26597,43,RPG
Game342,38084,95,Acción
Game343,34584,64,Puzzle
Game344,27143,93,Acción
Game345,44488,5,Deportes
Game346,9280,56,Aventura
Game347,25005,60,Aventura
Game348,16834,30,Acción
Game349,3482,43,Aventura
Game350,21521,22,Puzzle
Game351,15096,5,Aventura
Game352,21330,0,Puzzle
Game353,24085,44,Estrategia
Game354,17019,77,Acción
Game355,36654,9,Puzzle
Game356,32957,30,RPG
Game357,24301,85,Estrategia
Game358,45916,93,Aventura
Game359,43817,66,Estrategia
Game360,1365,64,Estrategia
Game361,12930,94,Estrategia
Game362,49249,37,RPG
Game363,45074,9,Puzzle
Game364,45040,66,Aventura
Game365,3659,4,Puzzle
Game366,36769,33,RPG
Game367,45028,84,Deportes
Game368,33598,80,Puzzle
Game369,18709,21,RPG
Game370,8589,54,RPG
Game371,25253,95,Puzzle
Game372,1919,49,Puzzle
Game373,2593,48,Aventura
Game374,8314,11,Aventura
Game375,36072,68,Acción
Game376,15815,83,RPG
Game377,4164,87,Estrategia
Game378,34916,77,Aventura
Game379,31173,64,Acción
Game380,1335,15,Deportes
Game381,9328,49,Acción
Game382,8936,75,Acción
Game383,30706,98,Aventura
Game384,10864,66,Estrategia
Game385,15032,94,RPG
Game386,2516,88,RPG
Game387,2067,69,RPG
Game388,25983,45,Estrategia
Game389,11882,25,Aventura
Game390,33478,84,RPG
Game391,33412,89,Deportes
Game392,41176,9,RPG
Game393,5566,77,Estrategia
Game394,2935,70,Aventura
Game395,20542,88,Deportes
Game396,18649,31,Aventura
Game397,33523,20,Puzzle
Game398,49595,29,Estrategia
Game399,17183,80,Aventura
Game400,47956,86,Deportes
Game401,41969,9,Estrategia
Game402,3263,33,Puzzle
Game403,6364,85,Acción
Game404,19840,65,Puzzle
Game405,8961,74,RPG
Game406,12711,40,Aventura
Game407,43913,2,Puzzle
Game408,46357,17,RPG
Game409,14626,34,RPG
Game410,1210,76,Aventura
Game411,26561,86,Puzzle
Game412,32363,58,RPG
Game413,34493,35,Aventura
Game414,33268,43,RPG
Game415,49721,27,Estrategia
Game416,29637,9,Estrategia
Game417,44608,53,Aventura
Game418,7054,73,Acción
Game419,16614,39,Deportes
Game420,5063,39,Deportes
Game421,21249,65,Aventura
Game422,45381,0,Aventura
Game423,15302,11,Deportes
Game424,1129,24,Puzzle
Game425,26849,49,Deportes
Game426,48957,93,Puzzle
Game427,19172,27,RPG
Game428,3167,74,RPG
Game429,44552,96,Acción
Game430,21641,42,Deportes
Game431,25757,18,Puzzle
Game432,28479,17,Acción
Game433,88,3,Aventura
Game434,45425,61,Puzzle
Game435,31943,17,Puzzle
Game436,48342,88,RPG
Game437,19570,77,Estrategia
Game438,903,59,RPG
Game439,40953,28,Puzzle
Game440,17024,86,Estrategia
Game441,41581,70,RPG
Game442,33919,84,RPG
Game443,48636,31,RPG
Game444,43305,15,Acción
Game445,13358,5,Deportes
Game446,8082,68,Puzzle
Game447,26265,14,Puzzle
Game448,4637,81,Estrategia
Game449,11577,21,Deportes
Game450,11286,86,Acción
Game451,46660,42,Aventura
Game452,45665,14,RPG
Game453,14526,26,Acción
Game454,18837,12,Estrategia
Game455,27773,72,Acción
Game456,47764,58,Acción
Game457,41160,51,Estrategia
Game458,34896,25,Acción
Game459,3408,79,Aventura
Game460,11774,15,RPG
Game461,29639,23,Deportes
Game462,46038,15,RPG
Game463,26202,32,RPG
Game464,33131,97,Estrategia
Game465,4886,68,Aventura
Game466,45518,81,RPG
Game467,19235,80,Estrategia
Game468,2203,15,Acción
Game469,22143,13,Deportes
Game470,1494,36,Deportes
Game471,8610,63,RPG
Game472,37650,13,Acción
Game473,2418,9,Deportes
Game474,34319,91,Acción
Game475,19763,97,Deportes
Game476,17167,81,Puzzle
Game477,25485,1,Puzzle
Game478,10605,79,RPG
Game479,46461,0,Deportes
Game480,27155,46,Deportes
Game481,2991,66,Puzzle
Game482,42456,80,Aventura
Game483,13673,90,Acción
Game484,34265,29,Estrategia
Game485,22013,74,Estrategia
Game486,41969,61,Deportes
Game487,28484,24,Estrategia
Game488,41684,6,Deportes
Game489,2238,5,RPG
Game490,12491,72,Acción
Game491,40253,3,Acción
Game492,28978,58,Acción
Game493,30667,20,Estrategia
Game494,44911,44,Aventura
Game495,18722,84,Deportes
Game496,44979,81,Deportes
Game497,46710,60,Puzzle
Game498,44115,58,Acción
Game499,8379,50,Puzzle
Game500,11005,24,Acción
Game501,12756,32,Puzzle
Game502,18415,81,Deportes
Game503,2082,32,Aventura
Game504,35111,9,Puzzle
Game505,2589,95,Puzzle
Game506,47348,16,Acción
Game507,37986,31,Estrategia
Game508,31624,26,Deportes
Game509,41160,34,Deportes
Game510,17011,98,Estrategia
Game511,8627,0,Acción
Game512,18756,100,Puzzle
Game513,25805,58,Estrategia
Game514,41583,35,Puzzle
Game515,26880,0,RPG
Game516,39611,2,RPG
Game517,45227,84,Aventura
Game518,4695,2,Acción
Game519,29991,6,RPG
Game520,46214,12,Aventura
Game521,14801,88,Acción
Game522,6010,19,Estrategia
Game523,5383,5,RPG
Game524,12903,7,Estrategia
Game525,11184,42,Aventura
Game526,27937,86,RPG
Game527,18384,58,Estrategia
Game528,20180,48,Acción
Game529,32453,47,Puzzle
Game530,11595,66,Deportes
Game531,5292,46,Aventura
Game532,38071,10,Estrategia
Game533,47437,99,Puzzle
Game534,35472,1,Puzzle
Game535,39027,29,Estrategia
Game536,49853,47,Aventura
Game537,42346,19,Aventura
Game538,41916,67,Estrategia
Game539,1780,86,Acción
Game540,46609,3,Aventura
Game541,8379,30,Deportes
Game542,12319,18,Deportes
Game543,44390,95,RPG
Game544,26764,96,Deportes
Game545,43200,98,RPG
Game546,45719,23,Estrategia
Game547,46517,74,Aventura
Game548,23764,48,RPG
Game549,45187,26,Aventura
Game550,38770,15,RPG
Game551,802,79,Deportes
Game552,32006,60,Deportes
Game553,6283,9,Estrategia
Game554,7402,41,Deportes
Game555,35852,20,Acción
Game556,18249,81,Acción
Game557,49618,99,Aventura
Game558,20022,16,Estrategia
Game559,16322,66,Aventura
Game560,43625,59,Aventura
Game561,12079,3,RPG
Game562,11170,31,Acción
Game563,577,98,RPG
Game564,18277,42,RPG
Game565,20679,57,Acción
Game566,41027,84,RPG
Game567,30995,68,Estrategia
Game568,8398,16,Acción
Game569,44453,16,Estrategia
Game570,38275,67,Deportes
Game571,13429,39,Acción
Game572,11780,71,Estrategia
Game573,28784,9,Aventura
Game574,19581,21,RPG
Game575,21618,1,Estrategia
Game576,20966,4,Puzzle
Game577,28500,94,Deportes
Game578,26156,70,Estrategia
Game579,28294,11,Estrategia
Game580,6750,62,RPG
Game581,2114,19,Puzzle
Game582,40717,89,Deportes
Game583,33537,55,Acción
Game584,27279,23,Acción
Game585,1481,26,Acción
Game586,13015,47,Acción
Game587,24149,30,Acción
Game588,34581,57,RPG
Game589,17822,99,Acción
Game590,35467,93,RPG
Game591,29811,75,RPG
Game592,30303,73,Aventura
Game593,45232,47,Estrategia
Game594,11413,21,Acción
Game595,48743,88,Deportes
Game596,43971,67,RPG
Game597,17405,100,Puzzle
Game598,44534,78,Estrategia
Game599,48460,57,RPG
Game600,2342,76,Deportes
Game601,34009,52,Deportes
Game602,34036,49,Deportes
Game603,35554,54,Acción
Game604,1119,30,Puzzle
Game605,25061,84,Puzzle
Game606,49912,16,Deportes
Game607,33555,15,Puzzle
Game608,31471,94,Deportes
Game609,3669,55,RPG
Game610,43595,24,Deportes
Game611,12908,27,RPG
Game612,36407,44,RPG
Game613,31442,37,Aventura
Game614,15685,40,Estrategia
Game615,28625,65,Acción
Game616,26590,25,Acción
Game617,12983,39,Aventura
Game618,22635,68,Estrategia
Game619,10864,8,Puzzle
Game620,32709,74,Aventura
Game621,31103,36,RPG
Game622,6780,32,RPG
Game623,6959,50,RPG
Game624,33378,33,Aventura
Game625,21764,18,Estrategia
Game626,47663,7,Estrategia
Game627,21562,7,Estrategia
Game628,36109,67,Acción
Game629,43739,0,Deportes
Game630,12259,3,Estrategia
Game631,44012,67,Acción
Game632,24147,10,Puzzle
Game633,6547,76,Aventura
Game634,22539,52,Puzzle
Game635,43558,90,Estrategia
Game636,108,64,Deportes
Game637,14566,46,Aventura
Game638,22749,28,Puzzle
Game639,41781,3,Puzzle
Game640,40611,29,Puzzle
Game641,12702,39,Estrategia
Game642,43856,0,RPG
Game643,14086,81,Acción
Game644,11834,96,Estrategia
Game645,20305,22,Aventura
Game646,34999,48,Deportes
Game647,30636,81,Deportes
Game648,32655,35,Deportes
Game649,12480,46,Aventura
Game650,8084,51,Deportes
Game651,34105,42,Estrategia
Game652,23575,73,Acción
Game653,29810,67,RPG
Game654,39845,59,Deportes
Game655,41346,15,Deportes
Game656,31629,50,Estrategia
Game657,41526,11,Acción
Game658,31997,8,Deportes
Game659,7269,59,Aventura
Game660,48096,29,Deportes
Game661,46638,30,Aventura
Game662,32279,30,Estrategia
Game663,25502,42,Estrategia
Game664,29535,52,Deportes
Game665,32831,76,Puzzle
Game666,30933,41,Puzzle
Game667,28398,94,Estrategia
Game668,36393,15,Aventura
Game669,6173,57,Aventura
Game670,40601,46,Aventura
Game671,35252,94,Aventura
Game672,48701,37,Estrategia
Game673,47837,88,Acción
Game674,15829,89,Deportes
Game675,36253,55,Estrategia
Game676,28387,70,Acción
Game677,18442,56,Deportes
Game678,19357,56,Aventura
Game679,10975,72,Acción
Game680,5757,50,Aventura
Game681,20705,21,Estrategia
Game682,16142,31,Deportes
Game683,29403,19,Deportes
Game684,43462,27,RPG
Game685,36177,24,Puzzle
Game686,42929,71,Estrategia
Game687,22088,66,Aventura
Game688,6317,86,RPG
Game689,28899,70,Acción
Game690,27482,46,RPG
Game691,49316,30,Aventura
Game692,4838,9,Acción
Game693,12320,96,Deportes
Game694,9359,10,Acción
Game695,20989,43,RPG
Game696,38454,17,Puzzle
Game697,985,88,Estrategia
Game698,13181,42,Puzzle
Game699,15398,82,RPG
Game700,14913,5,RPG
Game701,20664,16,Estrategia
Game702,374,6,RPG
Game703,44108,87,Deportes
Game704,8314,83,Deportes
Game705,25116,36,Deportes
Game706,11993,96,RPG
Game707,22496,65,Estrategia
Game708,27230,10,RPG
Game709,34170,57,Acción
Game710,34788,36,Aventura
Game711,21446,91,Puzzle
Game712,45269,82,RPG
Game713,30135,14,Deportes
Game714,4548,72,Acción
Game715,18147,42,Puzzle
Game716,33470,35,RPG
Game717,24490,31,RPG
Game718,32990,39,Aventura
Game719,28445,63,Puzzle
Game720,49294,95,Puzzle
Game721,40231,73,Estrategia
Game722,8418,13,Estrategia
Game723,30020,88,Deportes
Game724,5325,63,Estrategia
Game725,19920,92,Deportes
Game726,9221,92,Estrategia
Game727,27303,76,Acción
Game728,11701,24,RPG
Game729,45324,17,Puzzle
Game730,32912,90,Deportes
Game731,47849,21,Deportes
Game732,10032,15,Deportes
Game733,36210,34,RPG
Game734,10145,50,RPG
Game735,37801,70,Deportes
Game736,20773,82,Acción
Game737,47367,28,Puzzle
Game738,45621,36,Estrategia
Game739,49448,6,Estrategia
Game740,33719,87,Acción
Game741,35724,12,Estrategia
Game742,9528,12,RPG
Game743,26877,60,Aventura
Game744,46051,25,Estrategia
Game745,40651,39,Deportes
Game746,46930,20,RPG
Game747,47437,27,Deportes
Game748,12619,80,Estrategia
Game749,31912,84,Aventura
Game750,45687,93,Estrategia
Game751,41614,16,Acción
Game752,41355,10,Deportes
Game753,6958,82,Deportes
Game754,12850,86,RPG
Game755,45649,77,Acción
Game756,14192,43,Aventura
Game757,8519,24,RPG
Game758,34597,41,RPG
Game759,391,42,Deportes
Game760,696,2,Estrategia
Game761,28870,75,RPG
Game762,16601,94,Aventura
Game763,20308,13,Acción
Game764,14035,80,Aventura
Game765,20919,45,Acción
Game766,7910,72,Acción
Game767,40567,40,Puzzle
Game768,31036,26,RPG
Game769,33836,28,Deportes
Game770,15031,80,Deportes
Game771,19764,75,Aventura
Game772,13867,92,Acción
Game773,40364,31,Puzzle
Game774,2021,3,Puzzle
Game775,9569,77,Estrategia
Game776,3314,2,RPG
Game777,16348,19,Deportes
Game778,38101,64,Estrategia
Game779,3059,94,Deportes
Game780,13450,19,Deportes
Game781,20056,31,Estrategia
Game782,41879,70,Estrategia
Game783,34709,13,RPG
Game784,31026,13,Estrategia
Game785,38931,85,Acción
Game786,33893,79,RPG
Game787,42758,32,Aventura
Game788,14923,2,Aventura
Game789,48467,32,Aventura
Game790,11357,16,Estrategia
Game791,44696,39,Acción
Game792,41163,22,Estrategia
Game793,28913,62,Acción
Game794,44709,53,Deportes
Game795,10322,71,Estrategia
Game796,9908,18,Aventura
Game797,42372,68,RPG
Game798,19425,47,Deportes
Game799,36883,74,Acción
Game800,31961,7,Deportes
Game801,18981,99,RPG
Game802,42891,15,Deportes
Game803,33278,47,Deportes
Game804,23413,52,Aventura
Game805,6966,38,RPG
Game806,6199,51,Aventura
Game807,18204,32,Aventura
Game808,42367,83,Deportes
Game809,20693,92,Estrategia
Game810,48152,34,RPG
Game811,20116,82,RPG
Game812,9365,96,Deportes
Game813,5205,53,Acción
Game814,34188,27,RPG
Game815,16415,69,Aventura
Game816,14396,13,RPG
Game817,28836,30,Aventura
Game818,22520,17,Deportes
Game819,27728,71,Puzzle
Game820,33802,94,RPG
Game821,42431,82,Deportes
Game822,12072,22,RPG
Game823,12568,60,Acción
Game824,15241,2,Acción
Game825,12745,35,Acción
Game826,574,92,Puzzle
Game827,9855,0,Aventura
Game828,33201,99,RPG
Game829,14212,41,Puzzle
Game830,35326,86,Deportes
Game831,38599,67,RPG
Game832,40872,52,Puzzle
Game833,18879,24,Deportes
Game834,20539,69,Acción
Game835,7634,8,Acción
Game836,22144,79,Estrategia
Game837,1910,17,Estrategia
Game838,4105,44,Puzzle
Game839,4939,75,Acción
Game840,48709,84,RPG
Game841,21889,65,Estrategia
Game842,31639,7,Aventura
Game843,35946,54,Acción
Game844,21770,58,Deportes
Game845,25755,74,Aventura
Game846,42736,42,Puzzle
Game847,48104,27,Estrategia
Game848,49992,16,Puzzle
Game849,15867,19,Aventura
Game850,6198,16,Acción
Game851,6730,57,Deportes
Game852,11034,100,Deportes
Game853,15319,37,Deportes
Game854,21426,7,RPG
Game855,2690,71,Aventura
Game856,45871,11,Acción
Game857,11724,49,Acción
Game858,3491,98,Puzzle
Game859,38792,77,Aventura
Game860,39925,79,Deportes
Game861,35139,20,Estrategia
Game862,43689,93,Estrategia
Game863,45840,56,Acción
Game864,13494,30,Estrategia
Game865,16790,25,Acción
Game866,4806,10,Estrategia
Game867,42077,80,Estrategia
Game868,49066,66,Puzzle
Game869,18457,60,Acción
Game870,10521,28,Deportes
Game871,25195,90,Puzzle
Game872,19234,47,RPG
Game873,42957,95,Estrategia
Game874,31,97,Acción
Game875,8945,66,Puzzle
Game876,1652,62,Deportes
Game877,12902,14,Estrategia
Game878,5552,70,Deportes
Game879,49212,74,Acción
Game880,43872,69,Acción
Game881,2388,69,RPG
Game882,41003,43,Acción
Game883,28769,18,RPG
Game884,27205,1,RPG
Game885,49351,92,RPG
Game886,20822,50,Puzzle
Game887,306,83,Aventura
Game888,40425,18,Acción
Game889,38324,91,Aventura
Game890,17773,96,Puzzle
Game891,39897,25,Deportes
Game892,31772,46,RPG
Game893,16845,37,Estrategia
Game894,14573,95,Puzzle
Game895,19578,79,Deportes
Game896,13823,74,RPG
Game897,15382,18,Acción
Game898,645,15,Puzzle
Game899,16234,5,Acción
Game900,30111,54,Puzzle
Game901,19418,37,Estrategia
Game902,44801,68,RPG
Game903,9270,54,Acción
Game904,255,93,Estrategia
Game905,34837,60,Estrategia
Game906,48300,32,Aventura
Game907,43206,75,Acción
Game908,8255,52,Estrategia
Game909,43827,29,Acción
Game910,16264,3,RPG
Game911,13512,78,Puzzle
Game912,13152,54,RPG
Game913,47149,83,Aventura
Game914,11348,86,Aventura
Game915,46576,67,Acción
Game916,39497,50,Puzzle
Game917,41644,79,Estrategia
Game918,32130,15,Deportes
Game919,18356,43,Aventura
Game920,15666,61,RPG
Game921,591,50,RPG
Game922,46010,19,Deportes
Game923,8685,89,Deportes
Game924,39266,2,RPG
Game925,3407,85,Estrategia
Game926,7304,36,RPG
Game927,11490,14,Acción
Game928,24207,86,Estrategia
Game929,43659,30,Aventura
Game930,13574,7,Acción
Game931,32070,97,Estrategia
Game932,42921,14,Deportes
Game933,30486,72,Estrategia
Game934,29311,35,Puzzle
Game935,43833,48,Aventura
Game936,12059,17,Acción
Game937,40436,18,Aventura
Game938,12072,33,Deportes
Game939,47285,61,RPG
Game940,46791,86,Aventura
Game941,3789,61,Acción
Game942,100,50,Aventura
Game943,7974,36,Estrategia
Game944,42726,68,RPG
Game945,8640,74,Aventura
Game946,28588,38,Puzzle
Game947,45044,40,Acción
Game948,8769,28,Acción
Game949,40593,82,Estrategia
Game950,32512,35,Estrategia
Game951,11220,16,RPG
Game952,8439,3,Puzzle
Game953,11463,77,Deportes
Game954,31014,41,Acción
Game955,35569,11,Puzzle
Game956,23859,78,Acción
Game957,27732,49,Puzzle
Game958,29732,5,Aventura
Game959,41026,57,Estrategia
Game960,8529,17,RPG
Game961,27712,1,RPG
Game962,6165,27,RPG
Game963,37997,90,Puzzle
Game964,36197,98,RPG
Game965,26984,70,RPG
Game966,48717,25,Aventura
Game967,44417,31,Estrategia
Game968,43920,37,RPG
Game969,17240,25,RPG
Game970,47170,8,Deportes
Game971,47849,52,Estrategia
Game972,17705,44,RPG
Game973,9648,84,Acción
Game974,37312,78,Acción
Game975,35363,51,Deportes
Game976,19452,45,Aventura
Game977,15963,59,RPG
Game978,12784,61,Acción
Game979,18328,39,Acción
Game980,38281,92,Deportes
Game981,22067,18,Estrategia
Game982,25565,58,Puzzle
Game983,9502,18,Puzzle
Game984,14851,44,Acción
Game985,42664,50,Aventura
Game986,43836,20,RPG
Game987,49265,2,Acción
Game988,9036,59,Acción
Game989,14185,48,Estrategia
Game990,21183,37,RPG
Game991,48007,47,RPG
Game992,194,90,Deportes
Game993,1714,35,Aventura
Game994,21500,18,Puzzle
Game995,14394,57,RPG
Game996,19632,34,Estrategia
Game997,3980,46,Acción
Game998,2232,77,Aventura
Game999,4136,83,RPG
Game1000,19291,38,RPG
Game1001,18155,70,Estrategia
Game1002,21459,40,RPG
Game1003,6638,23,RPG
Game1004,24975,80,Puzzle
